,Time,ETHUSDT,BUSDUSDT
348,2023-06-04 16:42:00,1903.91,0.9998
349,2023-06-04 16:43:00,1903.84,0.9998
350,2023-06-04 16:44:00,1903.76,0.9999
351,2023-06-04 16:45:00,1904.35,0.9998
352,2023-06-04 16:46:00,1904.34,0.9998
353,2023-06-04 16:47:00,1904.0,0.9998
354,2023-06-04 16:48:00,1904.0,0.9999
355,2023-06-04 16:49:00,1904.0,0.9999
356,2023-06-04 16:50:00,1904.0,0.9999
357,2023-06-04 16:51:00,1903.52,0.9999
358,2023-06-04 16:52:00,1903.85,0.9999
359,2023-06-04 16:53:00,1903.68,0.9999
360,2023-06-04 16:54:00,1903.67,0.9998
361,2023-06-04 16:55:00,1904.1,0.9999
362,2023-06-04 16:56:00,1902.86,0.9999
363,2023-06-04 16:57:00,1902.7,0.9999
364,2023-06-04 16:58:00,1902.69,0.9999
365,2023-06-04 16:59:00,1901.76,0.9999
366,2023-06-04 17:00:00,1901.79,0.9998
367,2023-06-04 17:01:00,1901.46,0.9999
368,2023-06-04 17:02:00,1901.56,0.9999
369,2023-06-04 17:03:00,1901.1,0.9998
370,2023-06-04 17:04:00,1900.35,0.9998
371,2023-06-04 17:05:00,1900.0,0.9998
372,2023-06-04 17:06:00,1899.14,0.9998
373,2023-06-04 17:07:00,1899.11,0.9999
374,2023-06-04 17:08:00,1900.5,0.9998
375,2023-06-04 17:09:00,1900.43,0.9998
376,2023-06-04 17:10:00,1899.13,0.9998
377,2023-06-04 17:11:00,1899.38,0.9998
378,2023-06-04 17:12:00,1899.82,0.9998
379,2023-06-04 17:13:00,1899.45,0.9999
380,2023-06-04 17:14:00,1899.67,0.9998
381,2023-06-04 17:15:00,1899.76,0.9999
382,2023-06-04 17:16:00,1898.81,0.9999
383,2023-06-04 17:17:00,1898.43,0.9998
384,2023-06-04 17:18:00,1898.57,0.9999
385,2023-06-04 17:19:00,1898.53,0.9998
386,2023-06-04 17:20:00,1898.35,0.9998
387,2023-06-04 17:21:00,1898.35,0.9999
388,2023-06-04 17:22:00,1899.38,0.9999
389,2023-06-04 17:23:00,1899.63,0.9998
390,2023-06-04 17:24:00,1900.43,0.9998
391,2023-06-04 17:25:00,1898.36,0.9999
392,2023-06-04 17:26:00,1898.53,0.9998
393,2023-06-04 17:27:00,1898.37,0.9999
394,2023-06-04 17:28:00,1897.29,0.9998
395,2023-06-04 17:29:00,1897.77,0.9998
396,2023-06-04 17:30:00,1897.09,0.9998
397,2023-06-04 17:31:00,1897.51,0.9998
398,2023-06-04 17:32:00,1898.37,0.9998
399,2023-06-04 17:33:00,1898.44,0.9998
400,2023-06-04 17:34:00,1898.5,0.9998
401,2023-06-04 17:35:00,1898.6,0.9998
402,2023-06-04 17:36:00,1898.35,0.9998
403,2023-06-04 17:37:00,1898.38,0.9998
404,2023-06-04 17:38:00,1898.2,0.9999
405,2023-06-04 17:39:00,1898.03,0.9998
406,2023-06-04 17:40:00,1898.61,0.9999
407,2023-06-04 17:41:00,1897.69,0.9999
408,2023-06-04 17:42:00,1897.69,0.9999
409,2023-06-04 17:43:00,1897.73,0.9998
410,2023-06-04 17:44:00,1897.99,0.9999
411,2023-06-04 17:45:00,1897.82,0.9999
412,2023-06-04 17:46:00,1898.38,0.9999
413,2023-06-04 17:47:00,1898.13,0.9998
414,2023-06-04 17:48:00,1898.38,0.9999
415,2023-06-04 17:49:00,1898.02,0.9999
416,2023-06-04 17:50:00,1898.45,0.9999
417,2023-06-04 17:51:00,1898.44,0.9998
418,2023-06-04 17:52:00,1898.33,0.9999
419,2023-06-04 17:53:00,1898.2,0.9999
420,2023-06-04 17:54:00,1898.27,0.9998
421,2023-06-04 17:55:00,1897.64,0.9998
422,2023-06-04 17:56:00,1897.65,0.9998
423,2023-06-04 17:57:00,1897.45,0.9998
424,2023-06-04 17:58:00,1897.24,0.9998
425,2023-06-04 17:59:00,1897.6,0.9998
426,2023-06-04 18:00:00,1897.37,0.9998
427,2023-06-04 18:01:00,1897.5,0.9999
428,2023-06-04 18:02:00,1897.85,0.9998
429,2023-06-04 18:03:00,1897.88,0.9999
430,2023-06-04 18:04:00,1898.5,0.9998
431,2023-06-04 18:05:00,1898.86,0.9998
432,2023-06-04 18:06:00,1898.85,0.9998
433,2023-06-04 18:07:00,1899.22,0.9999
434,2023-06-04 18:08:00,1899.56,0.9998
435,2023-06-04 18:09:00,1900.1,0.9999
436,2023-06-04 18:10:00,1899.53,0.9999
437,2023-06-04 18:11:00,1899.29,0.9998
438,2023-06-04 18:12:00,1899.08,0.9998
439,2023-06-04 18:13:00,1899.07,0.9998
440,2023-06-04 18:14:00,1899.07,0.9998
441,2023-06-04 18:15:00,1899.42,0.9997
442,2023-06-04 18:16:00,1899.5,0.9998
443,2023-06-04 18:17:00,1899.5,0.9998
444,2023-06-04 18:18:00,1899.5,0.9997
445,2023-06-04 18:19:00,1899.51,0.9997
446,2023-06-04 18:20:00,1899.51,0.9997
447,2023-06-04 18:21:00,1899.14,0.9997
448,2023-06-04 18:22:00,1899.08,0.9998
449,2023-06-04 18:23:00,1899.01,0.9997
450,2023-06-04 18:24:00,1898.78,0.9997
451,2023-06-04 18:25:00,1898.5,0.9997
452,2023-06-04 18:26:00,1898.47,0.9998
453,2023-06-04 18:27:00,1898.6,0.9997
454,2023-06-04 18:28:00,1898.59,0.9997
455,2023-06-04 18:29:00,1899.51,0.9998
456,2023-06-04 18:30:00,1899.54,0.9998
457,2023-06-04 18:31:00,1899.76,0.9998
458,2023-06-04 18:32:00,1899.25,0.9997
459,2023-06-04 18:33:00,1899.36,0.9998
460,2023-06-04 18:34:00,1899.36,0.9998
461,2023-06-04 18:35:00,1899.37,0.9997
462,2023-06-04 18:36:00,1899.54,0.9997
