,Time,BTCUSDT,MDTUSDT
285,2023-06-04 15:21:00,27227.85,0.05108
286,2023-06-04 15:22:00,27229.5,0.05095
287,2023-06-04 15:23:00,27236.54,0.05073
288,2023-06-04 15:24:00,27230.01,0.05068
289,2023-06-04 15:25:00,27228.43,0.05063
290,2023-06-04 15:26:00,27216.3,0.05061
291,2023-06-04 15:27:00,27201.61,0.05058
292,2023-06-04 15:28:00,27191.73,0.05054
293,2023-06-04 15:29:00,27192.73,0.05053
294,2023-06-04 15:30:00,27189.35,0.05044
295,2023-06-04 15:31:00,27186.48,0.05044
296,2023-06-04 15:32:00,27172.0,0.05032
297,2023-06-04 15:33:00,27196.46,0.05036
298,2023-06-04 15:34:00,27202.31,0.05046
299,2023-06-04 15:35:00,27214.83,0.0505
300,2023-06-04 15:36:00,27221.36,0.05051
301,2023-06-04 15:37:00,27221.99,0.05051
302,2023-06-04 15:38:00,27246.44,0.05039
303,2023-06-04 15:39:00,27244.73,0.05044
304,2023-06-04 15:40:00,27232.32,0.05033
305,2023-06-04 15:41:00,27230.79,0.05032
306,2023-06-04 15:42:00,27234.21,0.05052
307,2023-06-04 15:43:00,27233.0,0.05051
308,2023-06-04 15:44:00,27232.99,0.0505
309,2023-06-04 15:45:00,27234.05,0.05045
310,2023-06-04 15:46:00,27256.02,0.05051
311,2023-06-04 15:47:00,27256.97,0.05065
312,2023-06-04 15:48:00,27256.43,0.05057
313,2023-06-04 15:49:00,27257.4,0.05068
314,2023-06-04 15:50:00,27255.94,0.05078
315,2023-06-04 15:51:00,27249.43,0.05082
316,2023-06-04 15:52:00,27244.07,0.05088
317,2023-06-04 15:53:00,27243.27,0.05092
318,2023-06-04 15:54:00,27250.23,0.05087
319,2023-06-04 15:55:00,27258.92,0.05098
320,2023-06-04 15:56:00,27242.0,0.05087
321,2023-06-04 15:57:00,27236.6,0.05088
322,2023-06-04 15:58:00,27236.53,0.0509
323,2023-06-04 15:59:00,27234.2,0.05088
324,2023-06-04 16:00:00,27241.7,0.05087
325,2023-06-04 16:01:00,27241.7,0.05081
326,2023-06-04 16:02:00,27244.57,0.05086
327,2023-06-04 16:03:00,27240.68,0.0509
328,2023-06-04 16:04:00,27239.66,0.05088
329,2023-06-04 16:05:00,27236.0,0.05094
330,2023-06-04 16:06:00,27239.13,0.05094
331,2023-06-04 16:07:00,27239.12,0.05089
332,2023-06-04 16:08:00,27233.87,0.05094
333,2023-06-04 16:09:00,27222.16,0.0508
334,2023-06-04 16:10:00,27222.16,0.05069
335,2023-06-04 16:11:00,27207.73,0.05066
336,2023-06-04 16:12:00,27205.18,0.05038
337,2023-06-04 16:13:00,27200.0,0.05024
338,2023-06-04 16:14:00,27197.79,0.05019
339,2023-06-04 16:15:00,27201.9,0.05025
340,2023-06-04 16:16:00,27198.86,0.05031
341,2023-06-04 16:17:00,27198.75,0.05029
342,2023-06-04 16:18:00,27203.01,0.05029
343,2023-06-04 16:19:00,27207.1,0.05032
344,2023-06-04 16:20:00,27216.49,0.05038
345,2023-06-04 16:21:00,27206.16,0.05038
346,2023-06-04 16:22:00,27200.0,0.0502
347,2023-06-04 16:23:00,27203.61,0.05026
348,2023-06-04 16:24:00,27194.01,0.0503
349,2023-06-04 16:25:00,27194.43,0.05026
350,2023-06-04 16:26:00,27199.99,0.0503
351,2023-06-04 16:27:00,27201.1,0.0503
352,2023-06-04 16:28:00,27207.74,0.05029
353,2023-06-04 16:29:00,27208.94,0.05029
354,2023-06-04 16:30:00,27214.09,0.0503
355,2023-06-04 16:31:00,27221.02,0.05031
356,2023-06-04 16:32:00,27207.9,0.05026
357,2023-06-04 16:33:00,27204.6,0.05028
358,2023-06-04 16:34:00,27196.24,0.0503
359,2023-06-04 16:35:00,27192.88,0.05028
360,2023-06-04 16:36:00,27192.87,0.05024
361,2023-06-04 16:37:00,27200.22,0.05029
362,2023-06-04 16:38:00,27203.7,0.0503
363,2023-06-04 16:39:00,27201.8,0.05029
364,2023-06-04 16:40:00,27203.79,0.0503
365,2023-06-04 16:41:00,27204.97,0.05033
366,2023-06-04 16:42:00,27205.14,0.05033
367,2023-06-04 16:43:00,27200.92,0.05044
368,2023-06-04 16:44:00,27200.92,0.05048
369,2023-06-04 16:45:00,27210.5,0.05045
370,2023-06-04 16:46:00,27210.51,0.05052
371,2023-06-04 16:47:00,27208.08,0.05047
372,2023-06-04 16:48:00,27206.45,0.05049
373,2023-06-04 16:49:00,27201.68,0.05048
374,2023-06-04 16:50:00,27201.67,0.05049
375,2023-06-04 16:51:00,27201.68,0.05048
376,2023-06-04 16:52:00,27204.53,0.05039
377,2023-06-04 16:53:00,27202.97,0.05038
378,2023-06-04 16:54:00,27194.01,0.05037
379,2023-06-04 16:55:00,27199.37,0.05036
380,2023-06-04 16:56:00,27200.34,0.05037
381,2023-06-04 16:57:00,27193.19,0.05037
382,2023-06-04 16:58:00,27193.73,0.05043
383,2023-06-04 16:59:00,27179.0,0.05044
384,2023-06-04 17:00:00,27179.5,0.05049
385,2023-06-04 17:01:00,27184.82,0.05041
386,2023-06-04 17:02:00,27183.53,0.05048
387,2023-06-04 17:03:00,27178.95,0.05042
388,2023-06-04 17:04:00,27171.01,0.05042
389,2023-06-04 17:05:00,27168.64,0.05081
390,2023-06-04 17:06:00,27166.43,0.05073
391,2023-06-04 17:07:00,27164.26,0.05065
392,2023-06-04 17:08:00,27186.58,0.05071
393,2023-06-04 17:09:00,27186.8,0.05072
394,2023-06-04 17:10:00,27183.33,0.05067
