,Time,BTCUSDT,BNBUSDT
416,2023-06-04 17:29:00,27175.12,305.8
417,2023-06-04 17:30:00,27170.89,305.8
418,2023-06-04 17:31:00,27171.43,305.8
419,2023-06-04 17:32:00,27181.15,305.7
420,2023-06-04 17:33:00,27185.94,305.8
421,2023-06-04 17:34:00,27185.93,305.8
422,2023-06-04 17:35:00,27185.93,305.7
423,2023-06-04 17:36:00,27182.65,305.8
424,2023-06-04 17:37:00,27181.5,305.9
425,2023-06-04 17:38:00,27179.34,305.8
426,2023-06-04 17:39:00,27179.33,305.8
427,2023-06-04 17:40:00,27185.93,305.8
428,2023-06-04 17:41:00,27178.64,305.8
429,2023-06-04 17:42:00,27181.5,305.8
430,2023-06-04 17:43:00,27181.49,305.7
431,2023-06-04 17:44:00,27186.6,305.8
432,2023-06-04 17:45:00,27186.6,305.8
433,2023-06-04 17:46:00,27186.95,305.8
434,2023-06-04 17:47:00,27188.64,305.8
435,2023-06-04 17:48:00,27193.89,305.9
436,2023-06-04 17:49:00,27190.92,305.8
437,2023-06-04 17:50:00,27190.91,305.9
438,2023-06-04 17:51:00,27189.66,305.8
439,2023-06-04 17:52:00,27181.82,305.9
440,2023-06-04 17:53:00,27183.17,305.8
441,2023-06-04 17:54:00,27189.5,305.9
442,2023-06-04 17:55:00,27183.28,305.8
443,2023-06-04 17:56:00,27183.18,305.9
444,2023-06-04 17:57:00,27173.49,305.9
445,2023-06-04 17:58:00,27170.67,305.9
446,2023-06-04 17:59:00,27170.66,305.9
447,2023-06-04 18:00:00,27174.53,305.8
448,2023-06-04 18:01:00,27177.01,305.8
449,2023-06-04 18:02:00,27179.99,305.9
450,2023-06-04 18:03:00,27179.98,305.9
451,2023-06-04 18:04:00,27187.46,305.9
452,2023-06-04 18:05:00,27196.68,305.8
453,2023-06-04 18:06:00,27196.13,305.8
454,2023-06-04 18:07:00,27198.71,305.9
455,2023-06-04 18:08:00,27201.43,305.8
456,2023-06-04 18:09:00,27206.74,305.9
457,2023-06-04 18:10:00,27202.2,305.9
458,2023-06-04 18:11:00,27194.33,305.8
459,2023-06-04 18:12:00,27190.15,305.8
460,2023-06-04 18:13:00,27190.16,305.9
461,2023-06-04 18:14:00,27190.78,305.8
462,2023-06-04 18:15:00,27190.8,305.9
463,2023-06-04 18:16:00,27190.8,305.8
464,2023-06-04 18:17:00,27191.36,305.9
465,2023-06-04 18:18:00,27192.03,305.8
466,2023-06-04 18:19:00,27192.44,305.8
467,2023-06-04 18:20:00,27192.51,305.7
468,2023-06-04 18:21:00,27193.15,305.8
469,2023-06-04 18:22:00,27193.15,305.8
470,2023-06-04 18:23:00,27193.36,305.8
471,2023-06-04 18:24:00,27195.13,305.8
472,2023-06-04 18:25:00,27195.29,305.7
473,2023-06-04 18:26:00,27195.28,305.7
474,2023-06-04 18:27:00,27195.29,305.8
475,2023-06-04 18:28:00,27195.3,305.7
476,2023-06-04 18:29:00,27202.31,305.7
477,2023-06-04 18:30:00,27202.32,305.8
478,2023-06-04 18:31:00,27202.41,305.7
479,2023-06-04 18:32:00,27191.89,305.8
480,2023-06-04 18:33:00,27191.87,305.7
481,2023-06-04 18:34:00,27191.87,305.8
482,2023-06-04 18:35:00,27191.88,305.8
483,2023-06-04 18:36:00,27196.94,305.8
484,2023-06-04 18:37:00,27198.12,305.8
485,2023-06-04 18:38:00,27198.24,305.7
486,2023-06-04 18:39:00,27198.23,305.8
487,2023-06-04 18:40:00,27190.15,305.8
488,2023-06-04 18:41:00,27187.56,305.8
489,2023-06-04 18:42:00,27187.56,305.8
490,2023-06-04 18:43:00,27190.15,305.8
491,2023-06-04 18:44:00,27191.44,305.8
492,2023-06-04 18:45:00,27195.22,305.7
493,2023-06-04 18:46:00,27193.42,305.7
494,2023-06-04 18:47:00,27193.43,305.7
495,2023-06-04 18:48:00,27190.17,305.8
496,2023-06-04 18:49:00,27190.17,305.8
497,2023-06-04 18:50:00,27190.17,305.8
498,2023-06-04 18:51:00,27181.95,305.7
499,2023-06-04 18:52:00,27191.75,305.8
500,2023-06-04 18:53:00,27191.75,305.7
501,2023-06-04 18:54:00,27193.64,305.9
502,2023-06-04 18:55:00,27187.34,305.8
503,2023-06-04 18:56:00,27187.34,305.9
504,2023-06-04 18:57:00,27187.34,305.8
505,2023-06-04 18:58:00,27179.06,305.8
506,2023-06-04 18:59:00,27176.76,305.7
507,2023-06-04 19:00:00,27186.92,305.7
508,2023-06-04 19:01:00,27188.3,305.7
509,2023-06-04 19:02:00,27189.64,305.8
510,2023-06-04 19:03:00,27189.63,305.8
511,2023-06-04 19:04:00,27198.82,305.9
512,2023-06-04 19:05:00,27191.84,305.9
513,2023-06-04 19:06:00,27191.85,305.9
514,2023-06-04 19:07:00,27192.16,306.0
515,2023-06-04 19:08:00,27192.16,306.0
516,2023-06-04 19:09:00,27192.17,306.0
517,2023-06-04 19:10:00,27190.3,306.0
518,2023-06-04 19:11:00,27201.86,306.0
519,2023-06-04 19:12:00,27198.41,305.9
520,2023-06-04 19:13:00,27209.02,306.0
521,2023-06-04 19:14:00,27206.23,306.0
522,2023-06-04 19:15:00,27206.24,306.0
523,2023-06-04 19:16:00,27197.95,306.0
524,2023-06-04 19:17:00,27200.51,305.9
525,2023-06-04 19:18:00,27200.52,306.0
526,2023-06-04 19:19:00,27199.96,306.0
527,2023-06-04 19:20:00,27199.96,305.9
528,2023-06-04 19:21:00,27194.21,306.0
529,2023-06-04 19:22:00,27201.99,305.9
530,2023-06-04 19:23:00,27201.99,306.0
531,2023-06-04 19:24:00,27195.27,306.0
532,2023-06-04 19:25:00,27195.26,306.0
533,2023-06-04 19:26:00,27197.49,306.0
534,2023-06-04 19:27:00,27197.55,306.0
535,2023-06-04 19:28:00,27197.56,305.9
536,2023-06-04 19:29:00,27197.56,305.9
537,2023-06-04 19:30:00,27186.88,305.8
538,2023-06-04 19:31:00,27188.93,305.8
539,2023-06-04 19:32:00,27195.47,305.9
540,2023-06-04 19:33:00,27195.47,305.8
541,2023-06-04 19:34:00,27191.92,305.9
542,2023-06-04 19:35:00,27191.92,305.8
543,2023-06-04 19:36:00,27191.92,305.8
544,2023-06-04 19:37:00,27191.91,305.8
545,2023-06-04 19:38:00,27195.88,305.8
546,2023-06-04 19:39:00,27195.89,305.9
547,2023-06-04 19:40:00,27195.89,305.9
548,2023-06-04 19:41:00,27196.07,305.8
549,2023-06-04 19:42:00,27196.07,305.8
550,2023-06-04 19:43:00,27193.2,305.8
551,2023-06-04 19:44:00,27187.76,305.8
552,2023-06-04 19:45:00,27187.76,305.8
553,2023-06-04 19:46:00,27187.77,305.9
554,2023-06-04 19:47:00,27189.07,305.9
555,2023-06-04 19:48:00,27189.07,305.9
556,2023-06-04 19:49:00,27189.08,305.9
557,2023-06-04 19:50:00,27189.07,305.9
558,2023-06-04 19:51:00,27189.07,305.9
559,2023-06-04 19:52:00,27189.07,305.7
560,2023-06-04 19:53:00,27188.78,305.8
561,2023-06-04 19:54:00,27188.78,305.7
562,2023-06-04 19:55:00,27187.03,305.8
563,2023-06-04 19:56:00,27187.92,305.8
564,2023-06-04 19:57:00,27187.91,305.7
565,2023-06-04 19:58:00,27194.19,305.7
566,2023-06-04 19:59:00,27194.18,305.8
567,2023-06-04 20:00:00,27193.51,305.9
568,2023-06-04 20:01:00,27188.66,305.9
569,2023-06-04 20:02:00,27188.66,305.8
570,2023-06-04 20:03:00,27188.67,305.9
571,2023-06-04 20:04:00,27188.67,305.9
572,2023-06-04 20:05:00,27194.98,305.8
573,2023-06-04 20:06:00,27194.99,305.8
574,2023-06-04 20:07:00,27200.88,305.8
575,2023-06-04 20:08:00,27200.88,305.9
576,2023-06-04 20:09:00,27200.88,305.9
577,2023-06-04 20:10:00,27200.8,305.8
578,2023-06-04 20:11:00,27200.57,305.9
