,Time,BTCUSDT,COMPUSDT
451,2023-06-04 18:08:00,27201.43,35.67
452,2023-06-04 18:09:00,27206.74,35.65
453,2023-06-04 18:10:00,27202.2,35.66
454,2023-06-04 18:11:00,27194.33,35.66
455,2023-06-04 18:12:00,27190.15,35.66
456,2023-06-04 18:13:00,27190.16,35.65
457,2023-06-04 18:14:00,27190.78,35.65
458,2023-06-04 18:15:00,27190.8,35.65
459,2023-06-04 18:16:00,27190.8,35.65
460,2023-06-04 18:17:00,27191.36,35.64
461,2023-06-04 18:18:00,27192.03,35.65
462,2023-06-04 18:19:00,27192.44,35.65
463,2023-06-04 18:20:00,27192.51,35.64
464,2023-06-04 18:21:00,27193.15,35.64
465,2023-06-04 18:22:00,27193.15,35.64
466,2023-06-04 18:23:00,27193.36,35.63
467,2023-06-04 18:24:00,27195.13,35.6
468,2023-06-04 18:25:00,27195.29,35.61
469,2023-06-04 18:26:00,27195.28,35.61
470,2023-06-04 18:27:00,27195.29,35.62
471,2023-06-04 18:28:00,27195.3,35.64
472,2023-06-04 18:29:00,27202.31,35.65
473,2023-06-04 18:30:00,27202.32,35.65
474,2023-06-04 18:31:00,27202.41,35.65
475,2023-06-04 18:32:00,27191.89,35.65
476,2023-06-04 18:33:00,27191.87,35.65
477,2023-06-04 18:34:00,27191.87,35.65
478,2023-06-04 18:35:00,27191.88,35.66
479,2023-06-04 18:36:00,27196.94,35.66
480,2023-06-04 18:37:00,27198.12,35.66
481,2023-06-04 18:38:00,27198.24,35.68
482,2023-06-04 18:39:00,27198.23,35.68
483,2023-06-04 18:40:00,27190.15,35.67
484,2023-06-04 18:41:00,27187.56,35.68
485,2023-06-04 18:42:00,27187.56,35.68
486,2023-06-04 18:43:00,27190.15,35.68
487,2023-06-04 18:44:00,27191.44,35.68
488,2023-06-04 18:45:00,27195.22,35.67
489,2023-06-04 18:46:00,27193.42,35.68
490,2023-06-04 18:47:00,27193.43,35.65
491,2023-06-04 18:48:00,27190.17,35.65
492,2023-06-04 18:49:00,27190.17,35.66
493,2023-06-04 18:50:00,27190.17,35.66
494,2023-06-04 18:51:00,27181.95,35.65
495,2023-06-04 18:52:00,27191.75,35.67
496,2023-06-04 18:53:00,27191.75,35.67
497,2023-06-04 18:54:00,27193.64,35.67
498,2023-06-04 18:55:00,27187.34,35.67
499,2023-06-04 18:56:00,27187.34,35.67
