,Time,ETHUSDT,BNBUSDT
301,2023-06-04 15:54:00,1907.79,307.4
302,2023-06-04 15:55:00,1908.38,307.5
303,2023-06-04 15:56:00,1906.33,307.4
304,2023-06-04 15:57:00,1905.6,307.5
305,2023-06-04 15:58:00,1905.77,307.4
306,2023-06-04 15:59:00,1905.5,307.4
307,2023-06-04 16:00:00,1905.36,307.4
308,2023-06-04 16:01:00,1905.37,307.3
309,2023-06-04 16:02:00,1905.81,307.5
310,2023-06-04 16:03:00,1905.56,307.4
311,2023-06-04 16:04:00,1905.63,307.5
312,2023-06-04 16:05:00,1905.5,307.3
313,2023-06-04 16:06:00,1905.68,307.3
314,2023-06-04 16:07:00,1905.5,307.3
315,2023-06-04 16:08:00,1905.32,307.3
316,2023-06-04 16:09:00,1904.49,307.2
317,2023-06-04 16:10:00,1904.49,307.1
318,2023-06-04 16:11:00,1903.51,307.0
319,2023-06-04 16:12:00,1903.31,307.0
320,2023-06-04 16:13:00,1902.85,306.9
321,2023-06-04 16:14:00,1902.67,307.0
322,2023-06-04 16:15:00,1903.43,306.9
323,2023-06-04 16:16:00,1903.25,306.9
324,2023-06-04 16:17:00,1903.2,306.9
325,2023-06-04 16:18:00,1903.59,307.0
326,2023-06-04 16:19:00,1903.99,306.9
327,2023-06-04 16:20:00,1904.35,307.0
328,2023-06-04 16:21:00,1903.86,307.0
329,2023-06-04 16:22:00,1903.62,306.9
330,2023-06-04 16:23:00,1904.05,307.0
331,2023-06-04 16:24:00,1903.71,306.8
332,2023-06-04 16:25:00,1903.59,306.7
333,2023-06-04 16:26:00,1904.39,306.9
334,2023-06-04 16:27:00,1904.5,306.9
335,2023-06-04 16:28:00,1904.79,306.9
336,2023-06-04 16:29:00,1904.79,307.0
337,2023-06-04 16:30:00,1905.1,306.9
338,2023-06-04 16:31:00,1905.55,307.0
339,2023-06-04 16:32:00,1904.83,306.8
340,2023-06-04 16:33:00,1904.51,306.9
341,2023-06-04 16:34:00,1903.86,306.8
342,2023-06-04 16:35:00,1903.51,306.8
343,2023-06-04 16:36:00,1903.51,306.9
344,2023-06-04 16:37:00,1903.72,306.8
345,2023-06-04 16:38:00,1903.94,306.9
346,2023-06-04 16:39:00,1903.95,307.0
347,2023-06-04 16:40:00,1903.99,307.0
348,2023-06-04 16:41:00,1903.8,307.0
349,2023-06-04 16:42:00,1903.91,307.0
350,2023-06-04 16:43:00,1903.84,306.8
351,2023-06-04 16:44:00,1903.76,306.8
352,2023-06-04 16:45:00,1904.35,306.7
353,2023-06-04 16:46:00,1904.34,306.7
354,2023-06-04 16:47:00,1904.0,306.7
355,2023-06-04 16:48:00,1904.0,306.8
356,2023-06-04 16:49:00,1904.0,306.7
357,2023-06-04 16:50:00,1904.0,306.7
358,2023-06-04 16:51:00,1903.52,306.7
359,2023-06-04 16:52:00,1903.85,306.6
360,2023-06-04 16:53:00,1903.68,306.5
361,2023-06-04 16:54:00,1903.67,306.6
362,2023-06-04 16:55:00,1904.1,306.7
363,2023-06-04 16:56:00,1902.86,306.6
364,2023-06-04 16:57:00,1902.7,306.6
365,2023-06-04 16:58:00,1902.69,306.6
366,2023-06-04 16:59:00,1901.76,306.6
367,2023-06-04 17:00:00,1901.79,306.5
368,2023-06-04 17:01:00,1901.46,306.6
369,2023-06-04 17:02:00,1901.56,306.4
370,2023-06-04 17:03:00,1901.1,306.2
371,2023-06-04 17:04:00,1900.35,306.3
372,2023-06-04 17:05:00,1900.0,306.2
373,2023-06-04 17:06:00,1899.14,305.9
374,2023-06-04 17:07:00,1899.11,306.0
375,2023-06-04 17:08:00,1900.5,306.2
376,2023-06-04 17:09:00,1900.43,306.2
377,2023-06-04 17:10:00,1899.13,306.2
378,2023-06-04 17:11:00,1899.38,306.2
379,2023-06-04 17:12:00,1899.82,306.1
380,2023-06-04 17:13:00,1899.45,306.1
381,2023-06-04 17:14:00,1899.67,306.2
382,2023-06-04 17:15:00,1899.76,306.2
383,2023-06-04 17:16:00,1898.81,306.1
384,2023-06-04 17:17:00,1898.43,305.9
385,2023-06-04 17:18:00,1898.57,305.9
386,2023-06-04 17:19:00,1898.53,305.9
387,2023-06-04 17:20:00,1898.35,305.8
388,2023-06-04 17:21:00,1898.35,305.9
389,2023-06-04 17:22:00,1899.38,305.8
390,2023-06-04 17:23:00,1899.63,306.0
391,2023-06-04 17:24:00,1900.43,306.0
392,2023-06-04 17:25:00,1898.36,305.8
393,2023-06-04 17:26:00,1898.53,305.7
394,2023-06-04 17:27:00,1898.37,305.8
395,2023-06-04 17:28:00,1897.29,305.8
396,2023-06-04 17:29:00,1897.77,305.8
397,2023-06-04 17:30:00,1897.09,305.8
398,2023-06-04 17:31:00,1897.51,305.8
399,2023-06-04 17:32:00,1898.37,305.7
400,2023-06-04 17:33:00,1898.44,305.8
401,2023-06-04 17:34:00,1898.5,305.8
402,2023-06-04 17:35:00,1898.6,305.7
403,2023-06-04 17:36:00,1898.35,305.8
404,2023-06-04 17:37:00,1898.38,305.9
405,2023-06-04 17:38:00,1898.2,305.8
406,2023-06-04 17:39:00,1898.03,305.8
407,2023-06-04 17:40:00,1898.61,305.8
408,2023-06-04 17:41:00,1897.69,305.8
409,2023-06-04 17:42:00,1897.69,305.8
410,2023-06-04 17:43:00,1897.73,305.7
411,2023-06-04 17:44:00,1897.99,305.8
412,2023-06-04 17:45:00,1897.82,305.8
413,2023-06-04 17:46:00,1898.38,305.8
414,2023-06-04 17:47:00,1898.13,305.8
415,2023-06-04 17:48:00,1898.38,305.9
416,2023-06-04 17:49:00,1898.02,305.8
417,2023-06-04 17:50:00,1898.45,305.9
418,2023-06-04 17:51:00,1898.44,305.8
419,2023-06-04 17:52:00,1898.33,305.9
420,2023-06-04 17:53:00,1898.2,305.8
421,2023-06-04 17:54:00,1898.27,305.9
422,2023-06-04 17:55:00,1897.64,305.8
423,2023-06-04 17:56:00,1897.65,305.9
424,2023-06-04 17:57:00,1897.45,305.9
425,2023-06-04 17:58:00,1897.24,305.9
426,2023-06-04 17:59:00,1897.6,305.9
427,2023-06-04 18:00:00,1897.37,305.8
