,Time,ETHUSDT,MDTUSDT
282,2023-06-04 15:38:00,1904.08,0.05039
283,2023-06-04 15:39:00,1904.91,0.05044
284,2023-06-04 15:40:00,1903.65,0.05033
285,2023-06-04 15:41:00,1903.76,0.05032
286,2023-06-04 15:42:00,1904.64,0.05052
287,2023-06-04 15:43:00,1904.5,0.05051
288,2023-06-04 15:44:00,1904.43,0.0505
289,2023-06-04 15:45:00,1904.78,0.05045
290,2023-06-04 15:46:00,1906.59,0.05051
291,2023-06-04 15:47:00,1906.23,0.05065
292,2023-06-04 15:48:00,1906.85,0.05057
293,2023-06-04 15:49:00,1906.85,0.05068
294,2023-06-04 15:50:00,1907.31,0.05078
295,2023-06-04 15:51:00,1907.18,0.05082
296,2023-06-04 15:52:00,1907.17,0.05088
297,2023-06-04 15:53:00,1907.41,0.05092
298,2023-06-04 15:54:00,1907.79,0.05087
299,2023-06-04 15:55:00,1908.38,0.05098
300,2023-06-04 15:56:00,1906.33,0.05087
301,2023-06-04 15:57:00,1905.6,0.05088
302,2023-06-04 15:58:00,1905.77,0.0509
303,2023-06-04 15:59:00,1905.5,0.05088
304,2023-06-04 16:00:00,1905.36,0.05087
305,2023-06-04 16:01:00,1905.37,0.05081
306,2023-06-04 16:02:00,1905.81,0.05086
307,2023-06-04 16:03:00,1905.56,0.0509
308,2023-06-04 16:04:00,1905.63,0.05088
309,2023-06-04 16:05:00,1905.5,0.05094
310,2023-06-04 16:06:00,1905.68,0.05094
311,2023-06-04 16:07:00,1905.5,0.05089
312,2023-06-04 16:08:00,1905.32,0.05094
313,2023-06-04 16:09:00,1904.49,0.0508
314,2023-06-04 16:10:00,1904.49,0.05069
315,2023-06-04 16:11:00,1903.51,0.05066
316,2023-06-04 16:12:00,1903.31,0.05038
317,2023-06-04 16:13:00,1902.85,0.05024
318,2023-06-04 16:14:00,1902.67,0.05019
319,2023-06-04 16:15:00,1903.43,0.05025
320,2023-06-04 16:16:00,1903.25,0.05031
321,2023-06-04 16:17:00,1903.2,0.05029
322,2023-06-04 16:18:00,1903.59,0.05029
323,2023-06-04 16:19:00,1903.99,0.05032
324,2023-06-04 16:20:00,1904.35,0.05038
325,2023-06-04 16:21:00,1903.86,0.05038
326,2023-06-04 16:22:00,1903.62,0.0502
327,2023-06-04 16:23:00,1904.05,0.05026
328,2023-06-04 16:24:00,1903.71,0.0503
329,2023-06-04 16:25:00,1903.59,0.05026
330,2023-06-04 16:26:00,1904.39,0.0503
331,2023-06-04 16:27:00,1904.5,0.0503
332,2023-06-04 16:28:00,1904.79,0.05029
333,2023-06-04 16:29:00,1904.79,0.05029
334,2023-06-04 16:30:00,1905.1,0.0503
335,2023-06-04 16:31:00,1905.55,0.05031
336,2023-06-04 16:32:00,1904.83,0.05026
337,2023-06-04 16:33:00,1904.51,0.05028
338,2023-06-04 16:34:00,1903.86,0.0503
339,2023-06-04 16:35:00,1903.51,0.05028
340,2023-06-04 16:36:00,1903.51,0.05024
341,2023-06-04 16:37:00,1903.72,0.05029
342,2023-06-04 16:38:00,1903.94,0.0503
343,2023-06-04 16:39:00,1903.95,0.05029
344,2023-06-04 16:40:00,1903.99,0.0503
345,2023-06-04 16:41:00,1903.8,0.05033
346,2023-06-04 16:42:00,1903.91,0.05033
347,2023-06-04 16:43:00,1903.84,0.05044
348,2023-06-04 16:44:00,1903.76,0.05048
349,2023-06-04 16:45:00,1904.35,0.05045
350,2023-06-04 16:46:00,1904.34,0.05052
351,2023-06-04 16:47:00,1904.0,0.05047
352,2023-06-04 16:48:00,1904.0,0.05049
353,2023-06-04 16:49:00,1904.0,0.05048
354,2023-06-04 16:50:00,1904.0,0.05049
355,2023-06-04 16:51:00,1903.52,0.05048
356,2023-06-04 16:52:00,1903.85,0.05039
357,2023-06-04 16:53:00,1903.68,0.05038
358,2023-06-04 16:54:00,1903.67,0.05037
359,2023-06-04 16:55:00,1904.1,0.05036
360,2023-06-04 16:56:00,1902.86,0.05037
361,2023-06-04 16:57:00,1902.7,0.05037
362,2023-06-04 16:58:00,1902.69,0.05043
363,2023-06-04 16:59:00,1901.76,0.05044
364,2023-06-04 17:00:00,1901.79,0.05049
365,2023-06-04 17:01:00,1901.46,0.05041
366,2023-06-04 17:02:00,1901.56,0.05048
367,2023-06-04 17:03:00,1901.1,0.05042
368,2023-06-04 17:04:00,1900.35,0.05042
369,2023-06-04 17:05:00,1900.0,0.05081
370,2023-06-04 17:06:00,1899.14,0.05073
371,2023-06-04 17:07:00,1899.11,0.05065
372,2023-06-04 17:08:00,1900.5,0.05071
373,2023-06-04 17:09:00,1900.43,0.05072
374,2023-06-04 17:10:00,1899.13,0.05067
375,2023-06-04 17:11:00,1899.38,0.05067
376,2023-06-04 17:12:00,1899.82,0.0508
377,2023-06-04 17:13:00,1899.45,0.05076
378,2023-06-04 17:14:00,1899.67,0.05071
379,2023-06-04 17:15:00,1899.76,0.05071
380,2023-06-04 17:16:00,1898.81,0.05074
381,2023-06-04 17:17:00,1898.43,0.05057
382,2023-06-04 17:18:00,1898.57,0.05057
383,2023-06-04 17:19:00,1898.53,0.05063
384,2023-06-04 17:20:00,1898.35,0.05066
385,2023-06-04 17:21:00,1898.35,0.0506
386,2023-06-04 17:22:00,1899.38,0.0506
387,2023-06-04 17:23:00,1899.63,0.05049
388,2023-06-04 17:24:00,1900.43,0.05048
389,2023-06-04 17:25:00,1898.36,0.05044
390,2023-06-04 17:26:00,1898.53,0.05049
391,2023-06-04 17:27:00,1898.37,0.05049
392,2023-06-04 17:28:00,1897.29,0.05049
393,2023-06-04 17:29:00,1897.77,0.05049
394,2023-06-04 17:30:00,1897.09,0.05054
395,2023-06-04 17:31:00,1897.51,0.05048
396,2023-06-04 17:32:00,1898.37,0.05052
397,2023-06-04 17:33:00,1898.44,0.05051
398,2023-06-04 17:34:00,1898.5,0.05043
399,2023-06-04 17:35:00,1898.6,0.05045
400,2023-06-04 17:36:00,1898.35,0.05045
401,2023-06-04 17:37:00,1898.38,0.05049
402,2023-06-04 17:38:00,1898.2,0.05047
403,2023-06-04 17:39:00,1898.03,0.05047
404,2023-06-04 17:40:00,1898.61,0.05028
405,2023-06-04 17:41:00,1897.69,0.05026
406,2023-06-04 17:42:00,1897.69,0.05028
407,2023-06-04 17:43:00,1897.73,0.05026
408,2023-06-04 17:44:00,1897.99,0.05014
409,2023-06-04 17:45:00,1897.82,0.05019
