,Time,BTCUSDT,BUSDUSDT
333,2023-06-04 16:07:00,27239.12,0.9998
334,2023-06-04 16:08:00,27233.87,0.9998
335,2023-06-04 16:09:00,27222.16,0.9999
336,2023-06-04 16:10:00,27222.16,0.9998
337,2023-06-04 16:11:00,27207.73,0.9999
338,2023-06-04 16:12:00,27205.18,0.9998
339,2023-06-04 16:13:00,27200.0,0.9999
340,2023-06-04 16:14:00,27197.79,0.9998
341,2023-06-04 16:15:00,27201.9,0.9998
342,2023-06-04 16:16:00,27198.86,0.9999
343,2023-06-04 16:17:00,27198.75,0.9998
344,2023-06-04 16:18:00,27203.01,0.9998
345,2023-06-04 16:19:00,27207.1,0.9998
346,2023-06-04 16:20:00,27216.49,0.9998
347,2023-06-04 16:21:00,27206.16,0.9999
348,2023-06-04 16:22:00,27200.0,0.9999
349,2023-06-04 16:23:00,27203.61,0.9998
350,2023-06-04 16:24:00,27194.01,0.9998
351,2023-06-04 16:25:00,27194.43,0.9998
352,2023-06-04 16:26:00,27199.99,0.9998
353,2023-06-04 16:27:00,27201.1,0.9999
354,2023-06-04 16:28:00,27207.74,0.9998
355,2023-06-04 16:29:00,27208.94,0.9998
356,2023-06-04 16:30:00,27214.09,0.9999
357,2023-06-04 16:31:00,27221.02,0.9998
358,2023-06-04 16:32:00,27207.9,0.9999
359,2023-06-04 16:33:00,27204.6,0.9999
360,2023-06-04 16:34:00,27196.24,0.9999
361,2023-06-04 16:35:00,27192.88,0.9999
362,2023-06-04 16:36:00,27192.87,0.9998
363,2023-06-04 16:37:00,27200.22,0.9999
364,2023-06-04 16:38:00,27203.7,0.9998
365,2023-06-04 16:39:00,27201.8,0.9998
366,2023-06-04 16:40:00,27203.79,0.9998
367,2023-06-04 16:41:00,27204.97,0.9999
368,2023-06-04 16:42:00,27205.14,0.9998
369,2023-06-04 16:43:00,27200.92,0.9998
370,2023-06-04 16:44:00,27200.92,0.9999
371,2023-06-04 16:45:00,27210.5,0.9998
372,2023-06-04 16:46:00,27210.51,0.9998
373,2023-06-04 16:47:00,27208.08,0.9998
374,2023-06-04 16:48:00,27206.45,0.9999
