,Time,ETHUSDT,BCHUSDT
401,2023-06-04 17:33:00,1898.44,116.4
402,2023-06-04 17:34:00,1898.5,116.3
403,2023-06-04 17:35:00,1898.6,116.3
404,2023-06-04 17:36:00,1898.35,116.3
405,2023-06-04 17:37:00,1898.38,116.3
406,2023-06-04 17:38:00,1898.2,116.3
407,2023-06-04 17:39:00,1898.03,116.3
408,2023-06-04 17:40:00,1898.61,116.3
409,2023-06-04 17:41:00,1897.69,116.3
410,2023-06-04 17:42:00,1897.69,116.3
411,2023-06-04 17:43:00,1897.73,116.3
412,2023-06-04 17:44:00,1897.99,116.3
413,2023-06-04 17:45:00,1897.82,116.2
414,2023-06-04 17:46:00,1898.38,116.2
415,2023-06-04 17:47:00,1898.13,116.3
416,2023-06-04 17:48:00,1898.38,116.4
417,2023-06-04 17:49:00,1898.02,116.4
418,2023-06-04 17:50:00,1898.45,116.4
419,2023-06-04 17:51:00,1898.44,116.4
420,2023-06-04 17:52:00,1898.33,116.3
421,2023-06-04 17:53:00,1898.2,116.3
422,2023-06-04 17:54:00,1898.27,116.3
423,2023-06-04 17:55:00,1897.64,116.3
424,2023-06-04 17:56:00,1897.65,116.3
425,2023-06-04 17:57:00,1897.45,116.3
426,2023-06-04 17:58:00,1897.24,116.3
427,2023-06-04 17:59:00,1897.6,116.3
428,2023-06-04 18:00:00,1897.37,116.3
429,2023-06-04 18:01:00,1897.5,116.3
430,2023-06-04 18:02:00,1897.85,116.4
431,2023-06-04 18:03:00,1897.88,116.4
432,2023-06-04 18:04:00,1898.5,116.4
433,2023-06-04 18:05:00,1898.86,116.4
434,2023-06-04 18:06:00,1898.85,116.5
435,2023-06-04 18:07:00,1899.22,116.5
436,2023-06-04 18:08:00,1899.56,116.5
437,2023-06-04 18:09:00,1900.1,116.5
438,2023-06-04 18:10:00,1899.53,116.5
439,2023-06-04 18:11:00,1899.29,116.6
440,2023-06-04 18:12:00,1899.08,116.6
441,2023-06-04 18:13:00,1899.07,116.5
442,2023-06-04 18:14:00,1899.07,116.5
443,2023-06-04 18:15:00,1899.42,116.5
444,2023-06-04 18:16:00,1899.5,116.6
445,2023-06-04 18:17:00,1899.5,116.5
446,2023-06-04 18:18:00,1899.5,116.5
447,2023-06-04 18:19:00,1899.51,116.5
448,2023-06-04 18:20:00,1899.51,116.4
449,2023-06-04 18:21:00,1899.14,116.4
450,2023-06-04 18:22:00,1899.08,116.4
451,2023-06-04 18:23:00,1899.01,116.4
452,2023-06-04 18:24:00,1898.78,116.4
453,2023-06-04 18:25:00,1898.5,116.5
454,2023-06-04 18:26:00,1898.47,116.4
455,2023-06-04 18:27:00,1898.6,116.4
456,2023-06-04 18:28:00,1898.59,116.4
457,2023-06-04 18:29:00,1899.51,116.5
458,2023-06-04 18:30:00,1899.54,116.4
459,2023-06-04 18:31:00,1899.76,116.4
460,2023-06-04 18:32:00,1899.25,116.4
461,2023-06-04 18:33:00,1899.36,116.4
462,2023-06-04 18:34:00,1899.36,116.4
463,2023-06-04 18:35:00,1899.37,116.4
464,2023-06-04 18:36:00,1899.54,116.5
465,2023-06-04 18:37:00,1899.34,116.3
466,2023-06-04 18:38:00,1899.15,116.4
467,2023-06-04 18:39:00,1899.14,116.3
468,2023-06-04 18:40:00,1899.01,116.3
469,2023-06-04 18:41:00,1899.0,116.2
470,2023-06-04 18:42:00,1899.0,116.2
471,2023-06-04 18:43:00,1899.3,116.2
472,2023-06-04 18:44:00,1899.3,116.2
473,2023-06-04 18:45:00,1899.24,116.4
474,2023-06-04 18:46:00,1899.15,116.3
475,2023-06-04 18:47:00,1899.15,116.3
476,2023-06-04 18:48:00,1899.16,116.3
477,2023-06-04 18:49:00,1899.15,116.3
478,2023-06-04 18:50:00,1899.15,116.3
479,2023-06-04 18:51:00,1899.01,116.2
480,2023-06-04 18:52:00,1899.25,116.3
481,2023-06-04 18:53:00,1899.24,116.2
482,2023-06-04 18:54:00,1899.62,116.3
483,2023-06-04 18:55:00,1899.12,116.2
484,2023-06-04 18:56:00,1899.1,116.2
485,2023-06-04 18:57:00,1899.08,116.2
